bins,column_name,column_type,score,normalized_score,metric,eval_retries,synthesizer
50,age,numerical,0.8241375000000001,0.8241375000000001,histogram_intersection,0,margctgan
50,capital-gain,numerical,0.9436580882352943,0.9436580882352943,histogram_intersection,0,margctgan
50,capital-loss,numerical,0.9465733292079207,0.9465733292079207,histogram_intersection,0,margctgan
17,education,categorical,0.9492187499999999,0.9492187499999999,histogram_intersection,0,margctgan
50,education-num,numerical,0.5234741784037559,0.5234741784037559,histogram_intersection,0,margctgan
50,fnlwgt,numerical,0.9060548414105595,0.9060548414105595,histogram_intersection,0,margctgan
50,hours-per-week,numerical,0.7712415705629397,0.7712415705629397,histogram_intersection,0,margctgan
3,income,categorical,0.9953125,0.9953125,histogram_intersection,0,margctgan
8,marital-status,categorical,0.94921875,0.94921875,histogram_intersection,0,margctgan
43,native-country,categorical,0.9023437499999999,0.9023437499999999,histogram_intersection,0,margctgan
16,occupation,categorical,0.94453125,0.94453125,histogram_intersection,0,margctgan
6,race,categorical,0.8960937499999999,0.8960937499999999,histogram_intersection,0,margctgan
7,relationship,categorical,0.9187500000000002,0.9187500000000002,histogram_intersection,0,margctgan
3,sex,categorical,0.95,0.95,histogram_intersection,0,margctgan
10,workclass,categorical,0.9437500000000001,0.9437500000000001,histogram_intersection,0,margctgan
