bins,column_name,column_type,score,normalized_score,metric,eval_retries,synthesizer
50,age,numerical,0.8117187499999999,0.8117187499999999,histogram_intersection,0,tablegan
50,capital-gain,numerical,0.53125,0.53125,histogram_intersection,0,tablegan
50,capital-loss,numerical,0.703125,0.703125,histogram_intersection,0,tablegan
17,education,categorical,0.47187500000000004,0.47187500000000004,histogram_intersection,0,tablegan
50,education-num,numerical,0.29375,0.29375,histogram_intersection,0,tablegan
50,fnlwgt,numerical,0.85234375,0.85234375,histogram_intersection,0,tablegan
50,hours-per-week,numerical,0.46640625,0.46640625,histogram_intersection,0,tablegan
3,income,categorical,0.97734375,0.97734375,histogram_intersection,0,tablegan
8,marital-status,categorical,0.49765625,0.49765625,histogram_intersection,0,tablegan
43,native-country,categorical,0.16796875000000006,0.16796875000000006,histogram_intersection,0,tablegan
16,occupation,categorical,0.7703125000000001,0.7703125000000001,histogram_intersection,0,tablegan
6,race,categorical,0.90703125,0.90703125,histogram_intersection,0,tablegan
7,relationship,categorical,0.859375,0.859375,histogram_intersection,0,tablegan
3,sex,categorical,0.9734375000000001,0.9734375000000001,histogram_intersection,0,tablegan
10,workclass,categorical,0.5109375,0.5109375,histogram_intersection,0,tablegan
